student,Uni,New_Adjusted_Attrition_2019,New_Normal_Attrition_2019,Success_2020,New_Adjusted_Retention_2019,New_Normal_Retention_2019
domestic,National Total,13.23,,,,
domestic,Charles Sturt University,21.01,,,,
domestic,Macquarie University,8.77,,,,
domestic,Southern Cross University,21.85,,,,
domestic,The University of New England,24.9,,,,
domestic,The University of Newcastle,12.92,,,,
domestic,The University of Sydney,4.87,,,,
domestic,University of New South Wales(b),3.86,,,,
domestic,University of Technology Sydney,4.99,,,,
domestic,University of Wollongong,11.33,,,,
domestic,Western Sydney University,13.41,,,,
domestic,Deakin University,13.39,,,,
domestic,Federation University Australia(c),23.33,,,,
domestic,La Trobe University,14.83,,,,
domestic,Monash University,4.55,,,,
domestic,RMIT University,11.22,,,,
domestic,Swinburne University of Technology,19.08,,,,
domestic,The University of Melbourne,3.43,,,,
domestic,University of Divinity,6.06,,,,
domestic,Victoria University,14.68,,,,
domestic,Bond University,4.34,,,,
domestic,CQUniversity,22.25,,,,
domestic,Griffith University,15.84,,,,
domestic,James Cook University,17,,,,
domestic,Queensland University of Technology,11.35,,,,
domestic,The University of Queensland,7.53,,,,
domestic,University of Southern Queensland,22.4,,,,
domestic,University of the Sunshine Coast,20.21,,,,
domestic,Curtin University,14.4,,,,
domestic,Edith Cowan University,17.81,,,,
domestic,Murdoch University,15.99,,,,
domestic,The University of Notre Dame Australia,9.56,,,,
domestic,The University of Western Australia,7.83,,,,
domestic,Flinders University,15.13,,,,
domestic,The University of Adelaide,9.09,,,,
domestic,Torrens University Australia(d),22.87,,,,
domestic,University of South Australia,17.76,,,,
domestic,Australian Maritime College(e),.,,,,
domestic,University of Tasmania(e),21.51,,,,
domestic,Batchelor Institute of Indigenous Tertiary Education(f),.,,,,
domestic,Charles Darwin University(f),21.09,,,,
domestic,The Australian National University,5.47,,,,
domestic,University of Canberra,12.98,,,,
domestic,Australian Catholic University,12.33,,,,
international,National Total,,12.73,,,
international,Charles Sturt University,,26.71,,,
international,Macquarie University,,9.68,,,
international,Southern Cross University,,41.32,,,
international,The University of New England,,22.13,,,
international,The University of Newcastle,,8.99,,,
